checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
no checking account,24,existing paid back,car (new),1525,>= 1000 DM,4 <= x < 7 yrs,4,female:div/dep/mar,none,3,car,34,none,own,1,skilled,2,yes,yes,Good Risk
>= 200 DM,36,existing paid back,radio/tv,4473,< 100 DM,>= 7 yrs,4,male:single,none,2,car,31,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,6,existing paid back,radio/tv,1068,< 100 DM,>= 7 yrs,4,male:single,none,4,car,28,none,own,1,skilled,2,none,yes,Good Risk
< 0 DM,24,critical account,car (used),6615,< 100 DM,unemployed,2,male:single,none,4,no property,75,none,for free,2,high qual/mgmt,1,yes,yes,Good Risk
no checking account,18,critical account,education,1864,100 <= x < 500 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,2,real estate,30,none,own,2,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,60,existing paid back,car (new),7408,100 <= x < 500 DM,< 1 yr,4,female:div/dep/mar,none,2,life insurance,24,none,own,1,high qual/mgmt,1,none,yes,Bad Risk
no checking account,48,critical account,car (used),11590,100 <= x < 500 DM,1 <= x < 4 yrs,2,female:div/dep/mar,none,4,car,24,bank,rent,2,unskilled resident,1,none,yes,Bad Risk
< 0 DM,24,no credits/all paid,furniture/equip,4110,< 100 DM,>= 7 yrs,3,male:single,none,4,no property,23,bank,rent,2,skilled,2,none,yes,Bad Risk
< 0 DM,6,critical account,furniture/equip,3384,< 100 DM,1 <= x < 4 yrs,1,male:divorced,none,4,real estate,44,none,rent,1,high qual/mgmt,1,yes,yes,Bad Risk
0 <= x < 200 DM,13,existing paid back,radio/tv,2101,< 100 DM,< 1 yr,2,female:div/dep/mar,guarantor,4,life insurance,23,none,own,1,unskilled resident,1,none,yes,Good Risk
< 0 DM,15,existing paid back,domestic appliances,1275,no savings,1 <= x < 4 yrs,4,female:div/dep/mar,none,2,car,24,none,rent,1,skilled,1,none,yes,Bad Risk
< 0 DM,24,existing paid back,furniture/equip,4169,< 100 DM,1 <= x < 4 yrs,4,male:single,none,4,life insurance,28,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,10,existing paid back,furniture/equip,1521,< 100 DM,1 <= x < 4 yrs,4,male:divorced,none,2,car,31,none,own,1,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,24,critical account,education,5743,< 100 DM,< 1 yr,2,female:div/dep/mar,none,4,no property,24,none,for free,2,skilled,1,yes,yes,Good Risk
< 0 DM,21,existing paid back,furniture/equip,3599,< 100 DM,4 <= x < 7 yrs,1,female:div/dep/mar,none,4,car,26,none,rent,1,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,18,existing paid back,radio/tv,3213,500 <= x < 1000 DM,< 1 yr,1,male:mar/wid,none,3,real estate,25,none,rent,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,18,existing paid back,business,4439,< 100 DM,>= 7 yrs,1,male:single,co-applicant,1,real estate,33,bank,own,1,high qual/mgmt,1,yes,yes,Good Risk
>= 200 DM,10,existing paid back,car (new),3949,< 100 DM,< 1 yr,1,male:single,guarantor,1,life insurance,37,none,own,1,unskilled resident,2,none,yes,Good Risk
no checking account,15,critical account,radio/tv,1459,< 100 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,2,car,43,none,own,1,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,13,critical account,radio/tv,882,< 100 DM,< 1 yr,4,male:single,guarantor,4,real estate,23,none,own,2,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,24,existing paid back,radio/tv,3758,500 <= x < 1000 DM,unemployed,1,female:div/dep/mar,none,4,no property,23,none,rent,1,unemp/unskilled non-res,1,none,yes,Good Risk
no checking account,6,delay in past,business,1743,100 <= x < 500 DM,1 <= x < 4 yrs,1,male:single,none,2,real estate,34,none,own,2,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,9,critical account,education,1136,>= 1000 DM,>= 7 yrs,4,male:single,none,3,no property,32,none,for free,2,skilled,2,none,yes,Bad Risk
no checking account,9,existing paid back,domestic appliances,1236,< 100 DM,< 1 yr,1,female:div/dep/mar,none,4,real estate,23,none,rent,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,9,existing paid back,furniture/equip,959,< 100 DM,1 <= x < 4 yrs,1,female:div/dep/mar,none,2,car,29,none,own,1,skilled,1,none,no,Bad Risk
no checking account,18,critical account,car (used),3229,no savings,unemployed,2,male:single,none,4,no property,38,none,own,1,high qual/mgmt,1,yes,yes,Good Risk
< 0 DM,12,no credits/all paid,radio/tv,6199,< 100 DM,1 <= x < 4 yrs,4,male:single,none,2,life insurance,28,none,rent,2,skilled,1,yes,yes,Bad Risk
no checking account,10,existing paid back,education,727,500 <= x < 1000 DM,>= 7 yrs,4,male:single,none,4,no property,46,none,for free,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,24,existing paid back,car (new),1246,< 100 DM,< 1 yr,4,male:single,none,2,real estate,23,stores,own,1,unskilled resident,1,none,yes,Bad Risk
no checking account,12,critical account,radio/tv,2331,no savings,>= 7 yrs,1,male:single,co-applicant,4,real estate,49,none,own,1,skilled,1,yes,yes,Good Risk
no checking account,36,delay in past,radio/tv,4463,< 100 DM,1 <= x < 4 yrs,4,male:single,none,2,car,26,none,own,2,high qual/mgmt,1,yes,yes,Bad Risk
no checking account,12,existing paid back,radio/tv,776,< 100 DM,1 <= x < 4 yrs,4,male:mar/wid,none,2,real estate,28,none,own,1,skilled,1,none,yes,Good Risk
< 0 DM,30,existing paid back,furniture/equip,2406,< 100 DM,4 <= x < 7 yrs,4,female:div/dep/mar,none,4,real estate,23,none,rent,1,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,18,existing paid back,education,1239,no savings,1 <= x < 4 yrs,4,male:single,none,4,no property,61,none,for free,1,skilled,1,none,yes,Good Risk
>= 200 DM,12,existing paid back,radio/tv,3399,no savings,>= 7 yrs,2,male:single,none,3,car,37,none,own,1,high qual/mgmt,1,none,yes,Good Risk
>= 200 DM,12,delay in past,car (new),2247,< 100 DM,1 <= x < 4 yrs,2,female:div/dep/mar,none,2,car,36,stores,own,2,skilled,1,yes,yes,Good Risk
no checking account,6,existing paid back,furniture/equip,1766,< 100 DM,1 <= x < 4 yrs,1,male:mar/wid,none,2,life insurance,21,none,rent,1,skilled,1,none,yes,Good Risk
< 0 DM,18,existing paid back,furniture/equip,2473,< 100 DM,unemployed,4,male:single,none,1,car,25,none,own,1,unemp/unskilled non-res,1,none,yes,Bad Risk
no checking account,12,existing paid back,business,1542,< 100 DM,4 <= x < 7 yrs,2,male:single,none,4,car,36,none,own,1,skilled,1,yes,yes,Good Risk
no checking account,18,critical account,car (used),3850,< 100 DM,4 <= x < 7 yrs,3,male:single,none,1,car,27,none,own,2,skilled,1,none,yes,Good Risk
< 0 DM,18,existing paid back,furniture/equip,3650,< 100 DM,< 1 yr,1,female:div/dep/mar,none,4,car,22,none,rent,1,skilled,1,none,yes,Good Risk
< 0 DM,36,existing paid back,furniture/equip,3446,< 100 DM,>= 7 yrs,4,male:single,none,2,car,42,none,own,1,skilled,2,none,yes,Bad Risk
0 <= x < 200 DM,18,existing paid back,furniture/equip,3001,< 100 DM,4 <= x < 7 yrs,2,female:div/dep/mar,none,4,real estate,40,none,rent,1,skilled,1,none,yes,Good Risk
no checking account,36,existing paid back,car (new),3079,no savings,1 <= x < 4 yrs,4,male:single,none,4,real estate,36,none,own,1,skilled,1,none,yes,Good Risk
no checking account,18,critical account,radio/tv,6070,< 100 DM,>= 7 yrs,3,male:single,none,4,car,33,none,own,2,skilled,1,yes,yes,Good Risk
no checking account,10,critical account,furniture/equip,2146,< 100 DM,< 1 yr,1,female:div/dep/mar,none,3,real estate,23,none,rent,2,skilled,1,none,yes,Good Risk
no checking account,60,critical account,car (new),13756,no savings,>= 7 yrs,2,male:single,none,4,no property,63,bank,for free,1,high qual/mgmt,1,yes,yes,Good Risk
0 <= x < 200 DM,60,all paid back here,others,14782,100 <= x < 500 DM,>= 7 yrs,3,female:div/dep/mar,none,4,no property,60,bank,for free,2,high qual/mgmt,1,yes,yes,Bad Risk
< 0 DM,48,all paid back here,business,7685,< 100 DM,4 <= x < 7 yrs,2,female:div/dep/mar,guarantor,4,car,37,none,rent,1,skilled,1,none,yes,Bad Risk
no checking account,18,delay in past,radio/tv,2320,< 100 DM,unemployed,2,male:mar/wid,none,3,real estate,34,none,own,2,skilled,1,none,yes,Good Risk
no checking account,7,delay in past,radio/tv,846,no savings,>= 7 yrs,3,male:single,none,4,no property,36,none,for free,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,36,existing paid back,car (new),14318,< 100 DM,>= 7 yrs,4,male:single,none,2,no property,57,none,for free,1,high qual/mgmt,1,yes,yes,Bad Risk
no checking account,6,critical account,car (new),362,100 <= x < 500 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,4,car,52,none,own,2,unskilled resident,1,none,yes,Good Risk
< 0 DM,20,existing paid back,furniture/equip,2212,no savings,4 <= x < 7 yrs,4,male:single,none,4,car,39,none,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,18,existing paid back,car (used),12976,< 100 DM,unemployed,3,female:div/dep/mar,none,4,no property,38,none,for free,1,high qual/mgmt,1,yes,yes,Bad Risk
no checking account,22,existing paid back,car (new),1283,no savings,4 <= x < 7 yrs,4,female:div/dep/mar,none,4,life insurance,25,none,rent,1,skilled,1,none,yes,Good Risk
>= 200 DM,12,existing paid back,car (new),1330,< 100 DM,< 1 yr,4,male:single,none,1,real estate,26,none,own,1,skilled,1,none,yes,Good Risk
no checking account,30,delay in past,business,4272,100 <= x < 500 DM,1 <= x < 4 yrs,2,male:single,none,2,life insurance,26,none,own,2,unskilled resident,1,none,yes,Good Risk
no checking account,18,critical account,radio/tv,2238,< 100 DM,1 <= x < 4 yrs,2,female:div/dep/mar,none,1,car,25,none,own,2,skilled,1,none,yes,Good Risk
no checking account,18,existing paid back,radio/tv,1126,no savings,< 1 yr,4,female:div/dep/mar,none,2,real estate,21,none,rent,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,18,critical account,furniture/equip,7374,< 100 DM,unemployed,4,male:single,none,4,life insurance,40,stores,own,2,high qual/mgmt,1,yes,yes,Good Risk
0 <= x < 200 DM,15,critical account,business,2326,500 <= x < 1000 DM,1 <= x < 4 yrs,2,male:single,none,4,car,27,bank,own,1,skilled,1,none,yes,Good Risk
no checking account,9,existing paid back,business,1449,< 100 DM,4 <= x < 7 yrs,3,female:div/dep/mar,none,2,car,27,none,own,2,skilled,1,none,yes,Good Risk
no checking account,18,existing paid back,car (new),1820,< 100 DM,1 <= x < 4 yrs,2,male:mar/wid,none,2,life insurance,30,none,own,1,high qual/mgmt,1,yes,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,furniture/equip,983,>= 1000 DM,< 1 yr,1,female:div/dep/mar,none,4,real estate,19,none,rent,1,unskilled resident,1,none,yes,Good Risk
< 0 DM,36,existing paid back,car (new),3249,< 100 DM,4 <= x < 7 yrs,2,male:single,none,4,no property,39,bank,for free,1,high qual/mgmt,2,yes,yes,Good Risk
< 0 DM,6,critical account,radio/tv,1957,< 100 DM,4 <= x < 7 yrs,1,female:div/dep/mar,none,4,car,31,none,own,1,skilled,1,none,yes,Good Risk
no checking account,9,critical account,furniture/equip,2406,< 100 DM,unemployed,2,male:single,none,3,car,31,none,own,1,high qual/mgmt,1,none,yes,Good Risk
0 <= x < 200 DM,39,delay in past,education,11760,100 <= x < 500 DM,4 <= x < 7 yrs,2,male:single,none,3,no property,32,none,rent,1,skilled,1,yes,yes,Good Risk
< 0 DM,12,existing paid back,furniture/equip,2578,< 100 DM,unemployed,3,female:div/dep/mar,none,4,no property,55,none,for free,1,high qual/mgmt,1,none,yes,Good Risk
< 0 DM,36,critical account,furniture/equip,2348,< 100 DM,1 <= x < 4 yrs,3,male:mar/wid,none,2,life insurance,46,none,own,2,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,car (new),1223,< 100 DM,>= 7 yrs,1,male:divorced,none,1,real estate,46,none,rent,2,skilled,1,none,yes,Bad Risk
no checking account,24,critical account,radio/tv,1516,>= 1000 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,1,real estate,43,none,own,2,unskilled resident,1,none,yes,Good Risk
no checking account,18,existing paid back,radio/tv,1473,< 100 DM,< 1 yr,3,male:mar/wid,none,4,real estate,39,none,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,18,critical account,business,1887,no savings,1 <= x < 4 yrs,4,male:mar/wid,none,4,real estate,28,bank,own,2,skilled,1,none,yes,Good Risk
no checking account,24,delay in past,business,8648,< 100 DM,< 1 yr,2,male:single,none,2,car,27,bank,own,2,skilled,1,yes,yes,Bad Risk
no checking account,14,delay in past,car (new),802,< 100 DM,1 <= x < 4 yrs,4,male:single,none,2,car,27,none,own,2,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,18,delay in past,car (new),2899,no savings,>= 7 yrs,4,male:single,none,4,car,43,none,own,1,skilled,2,none,yes,Good Risk
0 <= x < 200 DM,24,existing paid back,radio/tv,2039,< 100 DM,< 1 yr,1,male:mar/wid,none,1,life insurance,22,none,own,1,skilled,1,yes,yes,Bad Risk
no checking account,24,critical account,car (used),2197,no savings,4 <= x < 7 yrs,4,male:single,none,4,car,43,none,own,2,skilled,2,yes,yes,Good Risk
< 0 DM,15,existing paid back,radio/tv,1053,< 100 DM,< 1 yr,4,male:mar/wid,none,2,real estate,27,none,own,1,skilled,1,none,no,Good Risk
no checking account,24,existing paid back,radio/tv,3235,500 <= x < 1000 DM,>= 7 yrs,3,male:divorced,none,2,car,26,none,own,1,high qual/mgmt,1,yes,yes,Good Risk
>= 200 DM,12,critical account,car (new),939,500 <= x < 1000 DM,4 <= x < 7 yrs,4,male:mar/wid,none,2,real estate,28,none,own,3,skilled,1,yes,yes,Bad Risk
0 <= x < 200 DM,24,existing paid back,radio/tv,1967,< 100 DM,>= 7 yrs,4,female:div/dep/mar,none,4,car,20,none,own,1,skilled,1,yes,yes,Good Risk
no checking account,33,critical account,car (used),7253,< 100 DM,4 <= x < 7 yrs,3,male:single,none,2,car,35,none,own,2,high qual/mgmt,1,yes,yes,Good Risk
no checking account,12,critical account,business,2292,< 100 DM,unemployed,4,male:single,none,2,car,42,stores,own,2,high qual/mgmt,1,yes,yes,Bad Risk
no checking account,10,existing paid back,car (new),1597,500 <= x < 1000 DM,1 <= x < 4 yrs,3,male:single,none,2,no property,40,none,rent,1,unskilled resident,2,none,no,Good Risk
< 0 DM,24,existing paid back,car (new),1381,no savings,1 <= x < 4 yrs,4,female:div/dep/mar,none,2,life insurance,35,none,own,1,skilled,1,none,yes,Bad Risk
no checking account,36,critical account,car (used),5842,< 100 DM,>= 7 yrs,2,male:single,none,2,life insurance,35,none,own,2,skilled,2,yes,yes,Good Risk
< 0 DM,12,existing paid back,car (new),2579,< 100 DM,< 1 yr,4,male:single,none,1,real estate,33,none,own,1,unskilled resident,2,none,yes,Bad Risk
< 0 DM,18,delay in past,education,8471,no savings,1 <= x < 4 yrs,1,female:div/dep/mar,none,2,car,23,none,rent,2,skilled,1,yes,yes,Good Risk
no checking account,21,existing paid back,car (new),2782,500 <= x < 1000 DM,4 <= x < 7 yrs,1,female:div/dep/mar,none,2,car,31,bank,own,1,high qual/mgmt,1,none,yes,Good Risk
0 <= x < 200 DM,18,existing paid back,car (new),1042,no savings,1 <= x < 4 yrs,4,female:div/dep/mar,none,2,life insurance,33,none,own,1,skilled,1,none,yes,Bad Risk
no checking account,15,existing paid back,car (new),3186,>= 1000 DM,4 <= x < 7 yrs,2,female:div/dep/mar,none,3,car,20,none,rent,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,car (used),2028,no savings,1 <= x < 4 yrs,4,male:single,none,2,car,30,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,12,critical account,car (new),958,< 100 DM,4 <= x < 7 yrs,2,male:single,none,3,real estate,47,none,own,2,unskilled resident,2,none,yes,Good Risk
no checking account,21,delay in past,furniture/equip,1591,100 <= x < 500 DM,4 <= x < 7 yrs,4,male:single,none,3,real estate,34,none,own,2,high qual/mgmt,1,none,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,furniture/equip,2762,no savings,>= 7 yrs,1,female:div/dep/mar,none,2,life insurance,25,bank,own,1,skilled,1,yes,yes,Bad Risk
0 <= x < 200 DM,18,existing paid back,car (used),2779,< 100 DM,1 <= x < 4 yrs,1,male:mar/wid,none,3,car,21,none,rent,1,skilled,1,yes,yes,Good Risk
no checking account,28,critical account,radio/tv,2743,< 100 DM,>= 7 yrs,4,male:single,none,2,car,29,none,own,2,skilled,1,none,yes,Good Risk
no checking account,18,critical account,radio/tv,1149,>= 1000 DM,1 <= x < 4 yrs,4,male:single,none,3,real estate,46,none,own,2,skilled,1,none,yes,Good Risk
no checking account,9,existing paid back,furniture/equip,1313,< 100 DM,>= 7 yrs,1,male:single,none,4,car,20,none,own,1,skilled,1,none,yes,Good Risk
< 0 DM,18,critical account,repairs,1190,< 100 DM,unemployed,2,female:div/dep/mar,none,4,no property,55,none,for free,3,unemp/unskilled non-res,2,none,yes,Bad Risk
no checking account,5,existing paid back,business,3448,< 100 DM,4 <= x < 7 yrs,1,male:single,none,4,real estate,74,none,own,1,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,24,existing paid back,others,11328,< 100 DM,1 <= x < 4 yrs,2,male:single,co-applicant,3,car,29,bank,own,2,high qual/mgmt,1,yes,yes,Bad Risk
< 0 DM,6,critical account,furniture/equip,1872,< 100 DM,unemployed,4,male:single,none,4,no property,36,none,for free,3,high qual/mgmt,1,yes,yes,Good Risk
no checking account,24,critical account,repairs,2058,< 100 DM,1 <= x < 4 yrs,4,male:divorced,none,2,real estate,33,none,own,2,skilled,1,yes,yes,Good Risk
< 0 DM,9,existing paid back,furniture/equip,2136,< 100 DM,1 <= x < 4 yrs,3,male:single,none,2,real estate,25,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,radio/tv,1484,no savings,1 <= x < 4 yrs,2,male:mar/wid,none,1,real estate,25,none,own,1,skilled,1,yes,yes,Bad Risk
no checking account,6,existing paid back,repairs,660,500 <= x < 1000 DM,4 <= x < 7 yrs,2,male:mar/wid,none,4,real estate,23,none,rent,1,unskilled resident,1,none,yes,Good Risk
no checking account,24,critical account,car (new),1287,>= 1000 DM,>= 7 yrs,4,female:div/dep/mar,none,4,real estate,37,none,own,2,skilled,1,yes,yes,Good Risk
< 0 DM,42,critical account,repairs,3394,< 100 DM,unemployed,4,male:single,co-applicant,4,car,65,none,own,2,unemp/unskilled non-res,1,none,yes,Good Risk
>= 200 DM,12,all paid back here,business,609,< 100 DM,< 1 yr,4,female:div/dep/mar,none,1,real estate,26,none,own,1,unemp/unskilled non-res,1,none,yes,Bad Risk
no checking account,12,existing paid back,car (new),1884,< 100 DM,>= 7 yrs,4,male:single,none,4,car,39,none,own,1,high qual/mgmt,1,yes,yes,Good Risk
< 0 DM,12,existing paid back,furniture/equip,1620,< 100 DM,1 <= x < 4 yrs,2,female:div/dep/mar,co-applicant,3,life insurance,30,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,20,delay in past,others,2629,< 100 DM,1 <= x < 4 yrs,2,male:single,none,3,car,29,bank,own,2,skilled,1,yes,yes,Good Risk
no checking account,12,existing paid back,education,719,< 100 DM,>= 7 yrs,4,male:single,none,4,car,41,bank,own,1,unskilled resident,2,none,yes,Bad Risk
0 <= x < 200 DM,48,critical account,furniture/equip,5096,< 100 DM,1 <= x < 4 yrs,2,female:div/dep/mar,none,3,car,30,none,own,1,high qual/mgmt,1,yes,yes,Bad Risk
no checking account,9,critical account,education,1244,no savings,>= 7 yrs,4,female:div/dep/mar,none,4,life insurance,41,none,rent,2,unskilled resident,1,none,yes,Good Risk
< 0 DM,36,existing paid back,car (new),1842,< 100 DM,< 1 yr,4,female:div/dep/mar,none,4,car,34,none,own,1,skilled,1,yes,yes,Bad Risk
0 <= x < 200 DM,7,existing paid back,radio/tv,2576,< 100 DM,1 <= x < 4 yrs,2,male:single,guarantor,2,real estate,35,none,own,1,skilled,1,none,yes,Good Risk
>= 200 DM,12,existing paid back,furniture/equip,1424,no savings,>= 7 yrs,3,female:div/dep/mar,none,4,real estate,55,none,own,1,high qual/mgmt,1,yes,yes,Good Risk
0 <= x < 200 DM,15,delay in past,repairs,1512,>= 1000 DM,1 <= x < 4 yrs,3,male:mar/wid,none,3,life insurance,61,stores,own,2,skilled,1,none,yes,Bad Risk
no checking account,36,critical account,car (used),11054,no savings,1 <= x < 4 yrs,4,male:single,none,2,car,30,none,own,1,high qual/mgmt,1,yes,yes,Good Risk
no checking account,6,existing paid back,radio/tv,518,< 100 DM,1 <= x < 4 yrs,3,female:div/dep/mar,none,1,real estate,29,none,own,1,skilled,1,none,yes,Good Risk
no checking account,12,no credits/all paid,furniture/equip,2759,< 100 DM,>= 7 yrs,2,male:single,none,4,life insurance,34,none,own,2,skilled,1,none,yes,Good Risk
no checking account,24,existing paid back,car (used),2670,< 100 DM,>= 7 yrs,4,male:single,none,4,car,35,none,own,1,high qual/mgmt,1,yes,yes,Good Risk
< 0 DM,24,existing paid back,car (new),4817,< 100 DM,4 <= x < 7 yrs,2,male:single,co-applicant,3,life insurance,31,none,own,1,skilled,1,yes,yes,Bad Risk
no checking account,24,existing paid back,car (used),2679,< 100 DM,< 1 yr,4,female:div/dep/mar,none,1,no property,29,none,own,1,high qual/mgmt,1,yes,yes,Good Risk
< 0 DM,11,critical account,car (new),3905,< 100 DM,1 <= x < 4 yrs,2,male:single,none,2,real estate,36,none,rent,2,skilled,2,none,yes,Good Risk
< 0 DM,12,existing paid back,car (used),3386,< 100 DM,>= 7 yrs,3,male:single,none,4,no property,35,none,for free,1,skilled,1,yes,yes,Bad Risk
< 0 DM,6,existing paid back,domestic appliances,343,< 100 DM,< 1 yr,4,female:div/dep/mar,none,1,real estate,27,none,own,1,skilled,1,none,yes,Good Risk
no checking account,18,existing paid back,radio/tv,4594,< 100 DM,< 1 yr,3,male:single,none,2,car,32,none,own,1,skilled,1,yes,yes,Good Risk
< 0 DM,36,existing paid back,furniture/equip,3620,< 100 DM,1 <= x < 4 yrs,1,male:single,guarantor,2,life insurance,37,none,own,1,skilled,2,none,yes,Good Risk
< 0 DM,15,existing paid back,car (new),1721,< 100 DM,< 1 yr,2,male:single,none,3,real estate,36,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,furniture/equip,3017,< 100 DM,< 1 yr,3,female:div/dep/mar,none,1,real estate,34,none,rent,1,high qual/mgmt,1,none,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,retraining,754,no savings,>= 7 yrs,4,male:single,none,4,life insurance,38,none,own,2,skilled,1,none,yes,Good Risk
no checking account,18,existing paid back,business,1950,< 100 DM,4 <= x < 7 yrs,4,male:single,none,1,car,34,stores,own,2,skilled,1,yes,yes,Good Risk
< 0 DM,24,existing paid back,car (used),2924,< 100 DM,1 <= x < 4 yrs,3,male:single,guarantor,4,no property,63,bank,own,1,skilled,2,yes,yes,Good Risk
< 0 DM,24,delay in past,radio/tv,1659,< 100 DM,< 1 yr,4,female:div/dep/mar,none,2,car,29,none,rent,1,unskilled resident,1,yes,yes,Bad Risk
no checking account,48,delay in past,radio/tv,7238,no savings,>= 7 yrs,3,male:single,none,3,car,32,bank,own,2,skilled,2,none,yes,Good Risk
no checking account,33,delay in past,business,2764,< 100 DM,1 <= x < 4 yrs,2,female:div/dep/mar,none,2,car,26,none,own,2,skilled,1,yes,yes,Good Risk
no checking account,24,delay in past,car (used),4679,< 100 DM,4 <= x < 7 yrs,3,male:single,none,3,car,35,none,own,2,unskilled resident,1,yes,yes,Good Risk
0 <= x < 200 DM,24,existing paid back,radio/tv,3092,100 <= x < 500 DM,< 1 yr,3,male:mar/wid,none,2,car,22,none,rent,1,skilled,1,yes,yes,Bad Risk
< 0 DM,6,existing paid back,education,448,< 100 DM,< 1 yr,4,female:div/dep/mar,none,4,life insurance,23,none,own,1,skilled,1,none,yes,Bad Risk
< 0 DM,9,existing paid back,car (new),654,< 100 DM,1 <= x < 4 yrs,4,male:single,none,3,car,28,none,own,1,unskilled resident,1,none,yes,Bad Risk
no checking account,6,existing paid back,retraining,1238,no savings,unemployed,4,male:single,none,4,life insurance,36,none,own,1,high qual/mgmt,2,yes,yes,Good Risk
0 <= x < 200 DM,18,critical account,radio/tv,1245,< 100 DM,1 <= x < 4 yrs,4,male:mar/wid,none,2,car,33,none,own,1,skilled,1,none,yes,Bad Risk
< 0 DM,18,no credits/all paid,furniture/equip,3114,< 100 DM,< 1 yr,1,female:div/dep/mar,none,4,life insurance,26,none,rent,1,skilled,1,none,yes,Bad Risk
no checking account,39,existing paid back,car (used),2569,500 <= x < 1000 DM,1 <= x < 4 yrs,4,male:single,none,4,car,24,none,own,1,skilled,1,none,yes,Good Risk
>= 200 DM,24,existing paid back,radio/tv,5152,< 100 DM,4 <= x < 7 yrs,4,male:single,none,2,car,25,bank,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,business,1037,100 <= x < 500 DM,4 <= x < 7 yrs,3,male:single,none,4,real estate,39,none,own,1,unskilled resident,1,none,yes,Good Risk
< 0 DM,15,critical account,furniture/equip,1478,< 100 DM,>= 7 yrs,4,male:single,none,4,car,44,none,own,2,skilled,2,yes,yes,Good Risk
0 <= x < 200 DM,12,critical account,radio/tv,3573,< 100 DM,1 <= x < 4 yrs,1,female:div/dep/mar,none,1,real estate,23,none,own,1,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,24,existing paid back,car (new),1201,< 100 DM,< 1 yr,4,male:single,none,1,life insurance,26,none,own,1,skilled,1,none,yes,Good Risk
< 0 DM,30,existing paid back,furniture/equip,3622,>= 1000 DM,>= 7 yrs,4,female:div/dep/mar,none,4,life insurance,57,none,rent,2,skilled,1,yes,yes,Good Risk
no checking account,15,delay in past,furniture/equip,960,>= 1000 DM,4 <= x < 7 yrs,3,female:div/dep/mar,none,2,life insurance,30,none,own,2,skilled,1,none,yes,Good Risk
no checking account,12,critical account,car (new),1163,500 <= x < 1000 DM,1 <= x < 4 yrs,4,male:single,none,4,real estate,44,none,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,6,delay in past,car (new),1209,< 100 DM,unemployed,4,male:single,none,4,life insurance,47,none,own,1,high qual/mgmt,1,yes,yes,Bad Risk
no checking account,12,existing paid back,radio/tv,3077,< 100 DM,1 <= x < 4 yrs,2,male:single,none,4,car,52,none,own,1,skilled,1,yes,yes,Good Risk
no checking account,24,existing paid back,car (new),3757,< 100 DM,>= 7 yrs,4,female:div/dep/mar,co-applicant,4,no property,62,none,for free,1,skilled,1,yes,yes,Good Risk
no checking account,10,existing paid back,car (new),1418,100 <= x < 500 DM,1 <= x < 4 yrs,3,male:single,none,2,real estate,35,none,rent,1,unskilled resident,1,none,no,Good Risk
no checking account,6,existing paid back,car (new),3518,< 100 DM,1 <= x < 4 yrs,2,male:single,guarantor,3,life insurance,26,none,rent,1,skilled,1,none,yes,Good Risk
no checking account,12,critical account,radio/tv,1934,< 100 DM,>= 7 yrs,2,male:single,none,2,no property,26,none,own,2,skilled,1,none,yes,Good Risk
